store_id,sku_id,date,sales_qty,day_of_week,is_weekend,is_holiday,temperature,rainy,inventory_level,supplier_delay,restock_qty
S1,SKU1,2024-01-01,22,0,0,0,22.062449850285105,0,78,0,0
S1,SKU1,2024-01-02,19,1,0,0,33.549886314843356,0,59,0,0
S1,SKU1,2024-01-03,23,2,0,0,32.73129831391104,0,136,0,100
S1,SKU1,2024-01-04,27,3,0,0,27.002309309947044,0,109,0,0
S1,SKU1,2024-01-05,18,4,0,0,21.249229161566184,0,91,0,0
S1,SKU1,2024-01-06,18,5,1,0,29.50718186101543,0,73,0,0
S1,SKU1,2024-01-07,27,6,1,0,22.91077482490624,0,46,0,0
S1,SKU1,2024-01-08,23,0,0,0,26.377083628824586,0,123,0,100
S1,SKU1,2024-01-09,17,1,0,0,26.722306993439503,0,106,0,0
S1,SKU1,2024-01-10,22,2,0,0,23.2748200451688,1,84,0,0
S1,SKU1,2024-01-11,17,3,0,0,34.363733994890936,0,67,0,0
S1,SKU1,2024-01-12,17,4,0,0,24.393533539028084,0,50,0,0
S1,SKU1,2024-01-13,21,5,1,0,33.99298635339684,0,129,1,100
S1,SKU1,2024-01-14,10,6,1,0,28.21358648358568,0,119,0,0
S1,SKU1,2024-01-15,11,0,0,0,20.702478101282914,0,108,0,0
S1,SKU1,2024-01-16,17,1,0,0,27.078651074503803,1,91,0,0
S1,SKU1,2024-01-17,14,2,0,0,34.28710528115566,0,77,0,0
S1,SKU1,2024-01-18,21,3,0,0,26.8906500001568,0,56,0,0
S1,SKU1,2024-01-19,15,4,0,0,24.183276448054723,0,41,0,0
S1,SKU1,2024-01-20,12,5,1,0,32.480044699427566,0,129,0,100
S1,SKU1,2024-01-21,27,6,1,0,23.66359011511451,0,102,0,0
S1,SKU1,2024-01-22,18,0,0,0,13.523144364248708,1,84,0,0
S1,SKU1,2024-01-23,20,1,0,0,26.22226918025861,1,64,0,0
S1,SKU1,2024-01-24,12,2,0,0,27.385992364318852,0,52,1,0
S1,SKU1,2024-01-25,17,3,0,0,26.288778721842085,0,135,0,100
S1,SKU1,2024-01-26,20,4,0,1,27.982068236154074,1,115,0,0
S1,SKU1,2024-01-27,14,5,1,0,26.78243999446095,0,101,0,0
S1,SKU1,2024-01-28,21,6,1,0,23.168051603993305,1,80,0,0
S1,SKU1,2024-01-29,16,0,0,0,25.817190527731846,0,64,0,0
S1,SKU1,2024-01-30,18,1,0,0,30.197790707992635,0,46,0,0
S1,SKU1,2024-01-31,16,2,0,0,33.889612370162695,0,130,0,100
S1,SKU1,2024-02-01,29,3,0,0,21.690199230909442,0,101,0,0
S1,SKU1,2024-02-02,19,4,0,0,22.47894643591762,1,82,1,0
S1,SKU1,2024-02-03,14,5,1,0,30.978088994688633,0,68,0,0
S1,SKU1,2024-02-04,24,6,1,0,36.39199714254356,0,44,0,0
S1,SKU1,2024-02-05,13,0,0,0,24.749308194324147,0,131,0,100
S1,SKU1,2024-02-06,21,1,0,0,22.991392575024815,0,110,0,0
